BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY,LATITUDE,LONGITUDE,PRICE_PER_BED,PRICE_PER_PROPERTYSQFT
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,315000,2,2.0,1400.0,Manhattan,40.761255,-73.9744834,157500.0,225.0
Brokered by Serhant,Condo for sale,195000000,7,10.0,17545.0,New York County,40.7663935,-73.9809909,27857142.85714286,11114.277571957822
Brokered by Sowae Corp,House for sale,260000,4,2.0,2015.0,Richmond County,40.5418051,-74.1961086,65000.0,129.03225806451613
Brokered by COMPASS,Condo for sale,69000,3,1.0,445.0,New York County,40.7613979,-73.9746128,23000.0,155.0561797752809
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,55000000,7,2.3738608579684373,14175.0,New York County,40.7672235,-73.9698561,7857142.857142857,3880.0705467372136
Brokered by Sowae Corp,House for sale,690000,5,2.0,4004.0,Kings County,40.6743632,-73.9587248,138000.0,172.32767232767233
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,899500,2,2.0,2184.207862,New York,40.809448,-73.946777,449750.0,411.8197794491777
Brokered by Connie Profaci Realty,House for sale,16800000,8,16.0,33000.0,Richmond County,40.5950017,-74.1064235,2100000.0,509.09090909090907
Brokered by Pantiga Group Inc.,Co-op for sale,265000,1,1.0,750.0,East Bronx,40.8215857,-73.8740892,265000.0,353.3333333333333
Brokered by CENTURY 21 MK Realty,Co-op for sale,440000,2,1.0,978.0,Brooklyn,40.6157378,-73.9696944,220000.0,449.89775051124747
Brokered by Engel & Volkers Americas,Co-op for sale,375000,2,1.0,850.0,The Bronx,40.8248699,-73.9229829,187500.0,441.1764705882353
Brokered by Re/Max Edge,Townhouse for sale,689000,3,2.3738608579684373,1162.0,Richmond County,40.6249962,-74.1553058,229666.66666666666,592.9432013769364
Brokered by COMPASS,Co-op for sale,259000,3,1.0,2184.207862,Queens,40.7531191,-73.8818757,86333.33333333333,118.57845789587218
Brokered by Jamie & Connie Real Estate Grp,Co-op for sale,430000,2,2.0,2184.207862,Queens,40.7438639,-73.8745722,215000.0,196.8677100201739
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1.0,2184.207862,New York,40.7382981,-74.0058899,298333.3333333333,409.75953597222235
Brokered by Awaye Realty,Condo for sale,549000,2,2.0,1000.0,Staten Island,40.5406209,-74.1671632,274500.0,549.0
Brokered by Realty Executives Today,Townhouse for sale,975000,3,2.0,1734.0,Queens County,40.7607676,-73.9056672,325000.0,562.2837370242214
Brokered by Dorsa Group Realty,Co-op for sale,199000,3,1.0,325.0,Brooklyn,40.6181029,-74.0369047,66333.33333333333,612.3076923076923
Brokered by Coldwell Banker Realty,Co-op for sale,350000,1,1.0,700.0,The Bronx,40.9073699,-73.9065578,350000.0,500.0
Brokered by Keller Williams Rlty Landmark,Condo for sale,599000,2,2.0,974.0,Queens,40.7324713,-73.8670804,299500.0,614.9897330595483
Brokered by Radiant Estates LLC,House for sale,639999,3,2.0,1260.0,Richmond County,40.6207403,-74.1114362,213333.0,507.9357142857143
"Brokered by Apaus, Inc",Condo for sale,1300000,2,2.0,1244.0,Queens,40.7202429,-73.8430513,650000.0,1045.016077170418
Brokered by Keller Williams Ny Realty,Multi-family home for sale,1100000,6,3.0,2837.0,Bronx County,40.8343936,-73.8221101,183333.33333333334,387.73352132534365
Brokered by Martino Realty Group,Condo for sale,349900,1,1.0,651.0,Staten Island,40.5902064,-74.0958034,349900.0,537.4807987711214
Brokered by Elizabeth Marra,House for sale,750000,2,2.0,1330.0,Richmond County,40.5039785,-74.2396555,375000.0,563.9097744360902
Brokered by CENTURY 21 Milestone Realty,Multi-family home for sale,1690000,6,4.0,2200.0,Queens County,40.710749,-73.809486,281666.6666666667,768.1818181818181
"Brokered by Nest Seekers International, Long Island",Co-op for sale,325000,1,1.0,2184.207862,Queens,40.7505078,-73.8851355,325000.0,148.79536222455002
Brokered by Century 21 Realty First,Multi-family home for sale,2250000,12,2.3738608579684373,5670.0,New York,40.602654,-73.9869399,187500.0,396.8253968253968
Brokered by Du Chris Realty,Co-op for sale,230000,1,1.0,2184.207862,Queens County,40.7557689,-73.8734231,230000.0,105.30133326660463
Brokered by Ashford Homes,Multi-family home for sale,1299888,10,6.0,3156.0,Staten Island,40.6155667,-74.0869554,129988.8,411.8783269961977
NoBroker,Multi-family home for sale,925000,5,2.0,2750.0,Bronx County,40.8242389,-73.8173809,185000.0,336.3636363636364
Brokered by Get Listed Get Sold NYC,Condo for sale,329000,1,2.0,794.0,Richmond County,40.6210398,-74.1504313,329000.0,414.35768261964733
Brokered by RJM Realty Empire Inc.,Multi-family home for sale,1300000,10,8.0,5040.0,Staten Island,40.6274381,-74.1581613,130000.0,257.93650793650795
